STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
US1TXCML207,"GARDEN RIDGE 3.1 NW, TX US",29.6673,-98.3287,317.6
US1TXCML208,"CANYON LAKE 1.7 SW, TX US",29.855409,-98.27812,319.1
US1TXDW0019,"CUERO 8.4 S, TX US",28.9722,-97.2788,62.8
US1TXWM0203,"GEORGETOWN 5.3 NNW, TX US",30.715344,-97.728512,243.8
US1TXCML209,"CANYON LAKE 8.5 NNW, TX US",29.97908,-98.33676,420
US1TXWM0205,"GRANGER 6.8 WSW, TX US",30.6914,-97.55097,233.8
US1TXCML203,"GARDEN RIDGE 3.3 NW, TX US",29.6696,-98.33158,312.1
US1TXCML204,"NEW BRAUNFELS 4.2 WNW, TX US",29.732562,-98.179332,270.1
US1TXCML206,"NEW BRAUNFELS 4.2 WNW, TX US",29.7275,-98.182778,270.1
US1TXHDL009,"MISSION 1.9 ENE, TX US",26.2224,-98.2881,42.1
US1TXCLH012,"PORT LAVACA 6.8 W, TX US",28.6004,-96.73142,8.5
US1TXES0002,"CISCO 4.1 N, TX US",32.44384,-98.986634,470.3
US1TXHDL005,"LA JOYA 11.1 N, TX US",26.408007,-98.458892,89
US1TXTR0012,"SPURGER 6.2 S, TX US",30.60209,-94.167327,36.6
US1TXDW0015,"YORKTOWN 10.7 NNW, TX US",29.123373,-97.580364,133.5
US1TXTR0013,"COLMESNEIL 11.6 ESE, TX US",30.857075,-94.236686,38.7
US1TXWM0202,"GEORGETOWN 1.4 SE, TX US",30.630938,-97.671516,228.9
US1TXCLH017,"PORT O CONNOR 0.5 NW, TX US",28.451,-96.415,2.1
US1TXTR0018,"CHESTER 1.1 ESE, TX US",30.91476517,-94.58616767,73.5
USR0000TMCF,"MCFADDEN TEXAS, TX US",29.7,-94.1167,1.5
USC00418232,"SHALLOWATER, TX US",33.6877,-101.9854,1011.3
US1TXCLH015,"SEADRIFT 4.9 ENE, TX US",28.437781,-96.638999,3.7
US1TXNC0005,"NACOGDOCHES 9.5 NE, TX US",31.69850731,-94.52358246,110.6
US1TXMNG035,"PINEHURST 3.8 SE, TX US",30.15296555,-95.6572113,63.1
US1TXHYS172,"SAN MARCOS 2.8 WSW, TX US",29.862923,-97.970345,139
US1TXLT0010,"TEHUACANA 0.6 SSW, TX US",31.7355465,-96.547721,198.1
US1TXTR0020,"SPURGER 0.5 N, TX US",30.699106,-94.177803,53
US1TXTR0021,"WOODVILLE 7.4 ENE MCCONNELL, TX US",30.806546,-94.294049,71.3
US1TXTR0022,"WOODVILLE 5.3 WSW SMITH, TX US",30.73249667,-94.49637683,93.6
US1TXTR0023,"FRED 0.3 S, TX US",30.572797,-94.177608,41.1
US1TXDW0007,"YOAKUM 6.2 WNW, TX US",29.335384,-97.236318,125.9
US1TXTR0025,"WOODVILLE 6.1 S, TX US",30.6858,-94.4164,58.2
USC00414081,"HENDERSON, TX US",32.1809,-94.7963,128
USC00418446,"SOMERVILLE DAM, TX US",30.3368,-96.5402,80.2
US1TXTN0169,"ARLINGTON 5.0 N, TX US",32.76631,-97.12762,175.6
USC00417594,"RICHMOND, TX US",29.5838,-95.7552,30.8
US1TXJW0006,"ORANGE GROVE 3.3 NW, TX US",27.992672,-97.973464,64.3
USC00417111,"PLEASANTON, TX US",28.9605,-98.4772,109.1
USC00419532,"WEATHERFORD, TX US",32.7483,-97.77,291.1
USC00416024,"MONTGOMERY, TX US",30.3907,-95.697,97.5
USC00418201,"SEMINOLE, TX US",32.7131,-102.6596,1016.8
US1TXTN0170,"ARLINGTON 2.7 WSW, TX US",32.6826,-97.1714,185
US1TXMNG026,"THE WOODLANDS 2.8 N, TX US",30.198522,-95.4958769,44.8
US1TXTN0171,"FORT WORTH 3.8 SW, TX US",32.70928,-97.37506,176.5
US1TXTN0174,"ARLINGTON 5.7 SSW, TX US",32.61989,-97.17067,208.5
US1TXHYS161,"DRIPPING SPRINGS 6.4 N, TX US",30.280532,-98.07109,386.8
US1TXFB0005,"SUGAR LAND .5 SE, TX US",29.610741,-95.633544,29
USC00415183,"LEVELLAND, TX US",33.5501,-102.3758,1071.1
US1TXTN0177,"MANSFIELD 2.3 NNE, TX US",32.5949,-97.0956,181.4
US1TXWO0010,"ELMENDORF 5.6 ENE, TX US",29.282869,-98.245602,182.9
US1TXZV0020,"CRYSTAL CITY 9.2 E, TX US",28.6795,-99.67383333,177.4
USR0000TMAA,"MATADOR W.M.A. TEXAS, TX US",34.1333,-100.4167,579.1
US1TXKX0001,"TRUSCOTT 2.7 NW, TX US",33.777061,-99.833918,466.6
USC00416273,"NEW BRAUNFELS WEATHER FORECAST OFFICE, TX US",29.7047,-98.0288,191.4
US1TXHYS156,"KYLE 0.8 NE, TX US",30.001543,-97.859479,207.9
US1TXMNG030,"THE WOODLANDS 1.8 SE, TX US",30.141739,-95.465797,42.7
US1TXHYS158,"SAN MARCOS 10.4 WNW, TX US",29.924627,-98.094962,324
US1TXMNG033,"CONROE 1.1 W, TX US",30.32117,-95.4898,68.6
US1TXBST019,"BASTROP 7.2 N, TX US",30.215411,-97.328436,128
US1TXTV0059,"TANGLEWOOD FOREST 0.6 NE, TX US",30.180668,-97.831468,241.1
USC00417327,"PUTNAM, TX US",32.36644,-99.19245,494.1
US1TXBXR331,"HOLLYWOOD PARK 0.7 NW, TX US",29.60612679,-98.49251556,296.3
US1TXWO0005,"FLORESVILLE 8.1 NNW, TX US",29.249549,-98.195823,177.1
US1TXTV0291,"LAKEWAY 2.6 SW, TX US",30.344979,-98.014988,293.5
US1TXVC0030,"VICTORIA 1.1 S, TX US",28.80765,-96.98177,30.5
US1TXTV0290,"PFLUGERVILLE 0.5 N, TX US",30.4477,-97.62,214
US1TXTV0293,"AUSTIN 1.0 NNE, TX US",30.318536,-97.743766,196
US1TXTV0292,"AUSTIN 7.6 W, TX US",30.295181,-97.877516,239.9
US1TXWA0027,"BRENHAM 8.7 NW, TX US",30.2454,-96.5051,143
US1TXTV0053,"AUSTIN 4.2 NW 360 AND PENNEB, TX US",30.352458,-97.794666,183.8
US1TXTV0052,"OAK HILL 1.1 WSW, TX US",30.229669,-97.876765,292.3
US1TXWA0024,"BRENHAM 0.7 E, TX US",30.158889,-96.384869,104.5
US1TXWA0033,"BRENHAM 2.7 NNW, TX US",30.1933,-96.4198,94.5
US1TXVC0025,"VICTORIA 9.5 WSW, TX US",28.748411,-97.113392,29.3
US1TXVC0021,"VICTORIA 14.0 SW, TX US",28.659784,-97.118868,32.3
US1TXVC0020,"VICTORIA 9.7 ESE, TX US",28.778986,-96.831036,18.3
USC00415158,"LENORAH, TX US",32.308,-101.8776,867.2
US1TXEC0002,"ODESSA 8.3 WSW, TX US",31.8448996,-102.4858042,901.3
US1TXTV0049,"WELLS BRANCH 4.2 S, TX US",30.385237,-97.67878,210.9
US1TXVC0041,"VICTORIA 2.2 NW, TX US",28.847777,-97.00642,29.6
US1TXFB0022,"RICHMOND 4.6 SE, TX US",29.52608,-95.722116,25.3
US1TXBST002,"ELGIN 4.3 SE, TX US",30.301944,-97.325833,160.9
US1TXGP0093,"NEW BRAUNFELS 5.4 ESE, TX US",29.676621,-98.032537,195.7
US1TXWA0014,"WASHINGTON 8.6 SSW, TX US",30.221422,-96.222499,70.7
US1TXTV0044,"AUSTIN 1.0 N 45TH AND SHCRK, TX US",30.320713,-97.750208,196.9
US1TXJW0015,"PREMONT 0.9 WSW, TX US",27.35256,-98.137676,53
US1TXLV0003,"SHINER 5.1 ESE, TX US",29.41122,-97.09046,93
US1TXJW0016,"PREMONT 5.0 SSW FARMS RANCH, TX US",27.29378,-98.16029,46
US1TXLV0002,"HALLETTSVILLE 17.1 SE, TX US",29.255,-96.76005,50
USC00418433,"SNYDER, TX US",32.7101,-100.9112,706.8
US1TXWB0058,"HEBBRONVILLE 12.9 WSW WEID RANCH, TX US",27.275265,-98.886383,258.8
US1TXJW0017,"ALICE 9.6 SW, TX US",27.64777,-98.16554,68.9
US1TXVC0039,"VICTORIA 0.4 SE, TX US",28.82040787,-96.97740936,30.2
US1TXHNS004,"GRUVER 14.0 N, TX US",36.458089,-101.384883,962.9
US1TXFB0054,"MISSOURI CITY 5.1 SSE, TX US",29.50375,-95.50384,20.1
US1TXLV0021,"HALLETTSVILLE 8.0 N, TX US",29.559671,-96.927533,106.1
US1TXJK0006,"EDNA 3.8 NNW, TX US",29.0267,-96.66599,23.5
US1TXVC0044,"VICTORIA 1.2 NNE, TX US",28.838994,-96.973326,32.3
US1TXBEE018,"BEEVILLE 9.0 S, TX US",28.2751067,-97.7600733,57
USC00413195,"FLOMOT 2 E, TX US",34.2319,-100.9561,720.9
USR0000TKIR,"KIRBYVILLE TEXAS, TX US",30.4333,-93.8833,91.4
USW00093042,"DALHART FAA AIRPORT, TX US",36.0167,-102.55,1216.2
USC00410923,"BONHAM 3 NNE, TX US",33.6402,-96.1661,180.4
US1TXLV0032,"HALLETTSVILLE 2.0 NNW, TX US",29.472297,-96.949647,83.5
US1TXLV0026,"SHINER 4.1 NE, TX US",29.47702177,-97.12828629,100.3
US1TXVC0057,"VICTORIA 11.1 SW, TX US",28.730543,-97.131323,27.4
US1TXFB0042,"RICHMOND 2.3 SE, TX US",29.557,-95.74,24.1
US1TXVC0056,"VICTORIA 1.5 NNW, TX US",28.84478,-96.99127,32
US1TXCHK009,"JACKSONVILLE 11.9 ESE, TX US",31.8954,-95.0753,94.2
US1TXVC0055,"VICTORIA 2.1 ENE, TX US",28.832185,-96.949439,29.6
