0,1
20210417T23-05,35909
20210417T22-05,36850
20210417T21-05,37318
20210417T20-05,36468
20210417T19-05,35910
20210417T18-05,35920
20210417T17-05,35737
20210417T16-05,35830
20210417T15-05,36103
20210417T14-05,36567
20210417T13-05,37293
20210417T12-05,37904
20210417T11-05,38109
20210417T10-05,37503
20210417T09-05,36048
20210417T08-05,34560
20210417T07-05,33403
20210417T06-05,32366
20210417T05-05,31890
20210417T04-05,32139
20210417T03-05,32623
20210417T02-05,33575
20210417T01-05,34908
20210416T00-05,35926
20210415T23-05,38181
20210415T22-05,40286
20210415T21-05,41272
20210415T20-05,41012
20210415T19-05,41134
20210415T18-05,41127
20210415T17-05,41023
20210415T16-05,40978
20210415T15-05,40852
20210415T14-05,40592
20210415T13-05,40350
20210415T12-05,40268
20210415T11-05,40009
20210415T10-05,39400
20210415T09-05,39088
20210415T08-05,38563
20210415T07-05,37198
20210415T06-05,34711
20210415T05-05,33378
20210415T04-05,33125
20210415T03-05,33690
20210415T02-05,34651
20210415T01-05,36199
20210415T00-05,38544
20210414T23-05,41351
20210414T22-05,43909
20210414T21-05,45192
20210414T20-05,45085
20210414T19-05,45691
20210414T18-05,46333
20210414T17-05,46837
20210414T16-05,46547
20210414T15-05,45859
20210414T14-05,44671
20210414T13-05,43591
20210414T12-05,42728
20210414T11-05,41856
20210414T10-05,41010
20210414T09-05,40169
20210414T08-05,39581
20210414T07-05,38112
20210414T06-05,35534
20210414T05-05,34301
20210414T04-05,34073
20210414T03-05,34670
20210414T02-05,35714
20210414T01-05,37513
20210414T00-05,40000
20210413T23-05,43184
20210413T22-05,45982
20210413T21-05,47346
20210413T20-05,47387
20210413T19-05,48069
20210413T18-05,48865
20210413T17-05,48801
20210413T16-05,47748
20210413T15-05,46530
20210413T14-05,45237
20210413T13-05,43840
20210413T12-05,42720
20210413T11-05,41856
20210413T10-05,40942
20210413T09-05,40184
20210413T08-05,39734
20210413T07-05,38500
20210413T06-05,35970
20210413T05-05,34734
20210413T04-05,34522
20210413T03-05,35104
